127.0.0.1, 2018-04-23 18:14:48, GET, /start/default/index, HTTP/1.1, 200, 0.030169
127.0.0.1, 2018-04-23 18:14:49, GET, /favicon.ico, HTTP/1.1, 400, 0.000336
127.0.0.1, 2018-04-23 18:19:45, GET, /start/default/index, HTTP/1.1, 200, 0.046108
127.0.0.1, 2018-04-23 18:19:48, GET, /start/default/index, HTTP/1.1, 200, 0.023742
127.0.0.1, 2018-04-23 18:19:49, GET, /favicon.ico, HTTP/1.1, 400, 0.000418
127.0.0.1, 2018-04-23 18:21:40, GET, /start/default/index, HTTP/1.1, 200, 0.037776
127.0.0.1, 2018-04-23 18:21:41, GET, /favicon.ico, HTTP/1.1, 400, 0.000329
127.0.0.1, 2018-04-23 18:22:04, GET, /start/default/index, HTTP/1.1, 200, 0.022914
127.0.0.1, 2018-04-23 18:22:05, GET, /favicon.ico, HTTP/1.1, 400, 0.000360
127.0.0.1, 2018-04-23 18:22:07, GET, /start/default/toggle_public/1, HTTP/1.1, 303, 0.023150
127.0.0.1, 2018-04-23 18:22:07, GET, /start/default/index, HTTP/1.1, 200, 0.026414
127.0.0.1, 2018-04-23 18:22:07, GET, /favicon.ico, HTTP/1.1, 400, 0.000342
127.0.0.1, 2018-04-23 18:22:09, GET, /start/default/toggle_public/1, HTTP/1.1, 303, 0.019339
127.0.0.1, 2018-04-23 18:22:09, GET, /start/default/index, HTTP/1.1, 200, 0.022446
127.0.0.1, 2018-04-23 18:22:09, GET, /favicon.ico, HTTP/1.1, 400, 0.000266
127.0.0.1, 2018-04-23 18:22:23, GET, /start/default/index, HTTP/1.1, 200, 0.024311
127.0.0.1, 2018-04-23 18:22:24, GET, /favicon.ico, HTTP/1.1, 400, 0.000322
127.0.0.1, 2018-04-23 18:22:26, GET, /start/default/index, HTTP/1.1, 200, 0.024020
127.0.0.1, 2018-04-23 18:22:26, GET, /favicon.ico, HTTP/1.1, 400, 0.000396
127.0.0.1, 2018-04-23 18:22:38, GET, /start/default/toggle_public/1, HTTP/1.1, 303, 0.022281
127.0.0.1, 2018-04-23 18:22:39, GET, /start/default/index, HTTP/1.1, 200, 0.031973
127.0.0.1, 2018-04-23 18:22:39, GET, /start/default/toggle_public/1, HTTP/1.1, 303, 0.027267
127.0.0.1, 2018-04-23 18:22:39, GET, /start/default/index, HTTP/1.1, 200, 0.026445
127.0.0.1, 2018-04-23 18:22:40, GET, /favicon.ico, HTTP/1.1, 400, 0.000554
127.0.0.1, 2018-04-23 18:22:40, GET, /start/default/toggle_public/1, HTTP/1.1, 303, 0.020870
127.0.0.1, 2018-04-23 18:22:40, GET, /start/default/index, HTTP/1.1, 200, 0.024491
127.0.0.1, 2018-04-23 18:22:41, GET, /favicon.ico, HTTP/1.1, 400, 0.000267
127.0.0.1, 2018-04-23 18:22:43, GET, /start/default/edit/1, HTTP/1.1, 200, 0.038157
127.0.0.1, 2018-04-23 18:22:43, GET, /favicon.ico, HTTP/1.1, 400, 0.000362
127.0.0.1, 2018-04-23 18:22:58, GET, /start/default/edit/1, HTTP/1.1, 200, 0.036725
